matrix size: 68 	 crout: 0.04400348663330078[s] 	 doolittle: 0.09399747848510742[s] 	 cholesky: 0.05199933052062988[s] 	 numpy: 0.003998994827270508[s] 	 scipy: 0.0040094852447509766[s]
matrix size: 58 	 crout: 0.02099776268005371[s] 	 doolittle: 0.06100201606750488[s] 	 cholesky: 0.04199361801147461[s] 	 numpy: 0.003000974655151367[s] 	 scipy: 0.003007173538208008[s]
matrix size: 59 	 crout: 0.023965120315551758[s] 	 doolittle: 0.04899859428405762[s] 	 cholesky: 0.03200054168701172[s] 	 numpy: 0.002000093460083008[s] 	 scipy: 0.003002166748046875[s]
matrix size: 60 	 crout: 0.02499842643737793[s] 	 doolittle: 0.051999568939208984[s] 	 cholesky: 0.030999183654785156[s] 	 numpy: 0.002000570297241211[s] 	 scipy: 0.002999544143676758[s]
matrix size: 69 	 crout: 0.03200101852416992[s] 	 doolittle: 0.07199883460998535[s] 	 cholesky: 0.044000864028930664[s] 	 numpy: 0.0030007362365722656[s] 	 scipy: 0.0029997825622558594[s]
matrix size: 24 	 crout: 0.0029990673065185547[s] 	 doolittle: 0.006999492645263672[s] 	 cholesky: 0.0050008296966552734[s] 	 numpy: 0.0009987354278564453[s] 	 scipy: 0.0010006427764892578[s]
matrix size: 40 	 crout: 0.009000062942504883[s] 	 doolittle: 0.02099919319152832[s] 	 cholesky: 0.015000343322753906[s] 	 numpy: 0.0019998550415039062[s] 	 scipy: 0.0029997825622558594[s]
matrix size: 80 	 crout: 0.043999433517456055[s] 	 doolittle: 0.10599946975708008[s] 	 cholesky: 0.06500434875488281[s] 	 numpy: 0.002998828887939453[s] 	 scipy: 0.004000663757324219[s]
matrix size: 69 	 crout: 0.03399991989135742[s] 	 doolittle: 0.07499980926513672[s] 	 cholesky: 0.04699993133544922[s] 	 numpy: 0.003002643585205078[s] 	 scipy: 0.0039975643157958984[s]
matrix size: 49 	 crout: 0.01600050926208496[s] 	 doolittle: 0.03299975395202637[s] 	 cholesky: 0.02400064468383789[s] 	 numpy: 0.0019991397857666016[s] 	 scipy: 0.002000093460083008[s]
matrix size: 34 	 crout: 0.010999917984008789[s] 	 doolittle: 0.015001296997070312[s] 	 cholesky: 0.009997844696044922[s] 	 numpy: 0.0010004043579101562[s] 	 scipy: 0.0020003318786621094[s]
matrix size: 71 	 crout: 0.03500080108642578[s] 	 doolittle: 0.07500004768371582[s] 	 cholesky: 0.049999237060546875[s] 	 numpy: 0.0029993057250976562[s] 	 scipy: 0.0030012130737304688[s]
matrix size: 70 	 crout: 0.03299880027770996[s] 	 doolittle: 0.07200121879577637[s] 	 cholesky: 0.044999122619628906[s] 	 numpy: 0.0030002593994140625[s] 	 scipy: 0.003001689910888672[s]
matrix size: 37 	 crout: 0.009999275207519531[s] 	 doolittle: 0.01999974250793457[s] 	 cholesky: 0.011002779006958008[s] 	 numpy: 0.0009970664978027344[s] 	 scipy: 0.0020008087158203125[s]
matrix size: 35 	 crout: 0.008001327514648438[s] 	 doolittle: 0.013997793197631836[s] 	 cholesky: 0.017000675201416016[s] 	 numpy: 0.0010013580322265625[s] 	 scipy: 0.0009982585906982422[s]
matrix size: 27 	 crout: 0.0040013790130615234[s] 	 doolittle: 0.008999347686767578[s] 	 cholesky: 0.005998134613037109[s] 	 numpy: 0.0009999275207519531[s] 	 scipy: 0.001001596450805664[s]
matrix size: 93 	 crout: 0.06600022315979004[s] 	 doolittle: 0.167999267578125[s] 	 cholesky: 0.09367895126342773[s] 	 numpy: 0.004999637603759766[s] 	 scipy: 0.0040018558502197266[s]
matrix size: 56 	 crout: 0.02200031280517578[s] 	 doolittle: 0.04499936103820801[s] 	 cholesky: 0.02800130844116211[s] 	 numpy: 0.002997875213623047[s] 	 scipy: 0.0020034313201904297[s]
matrix size: 28 	 crout: 0.003999233245849609[s] 	 doolittle: 0.009999752044677734[s] 	 cholesky: 0.007999658584594727[s] 	 numpy: 0.0010008811950683594[s] 	 scipy: 0.0[s]
matrix size: 58 	 crout: 0.021999597549438477[s] 	 doolittle: 0.050002336502075195[s] 	 cholesky: 0.028998136520385742[s] 	 numpy: 0.0029985904693603516[s] 	 scipy: 0.0030014514923095703[s]
matrix size: 66 	 crout: 0.029000282287597656[s] 	 doolittle: 0.06599831581115723[s] 	 cholesky: 0.041001319885253906[s] 	 numpy: 0.0029990673065185547[s] 	 scipy: 0.0030014514923095703[s]
matrix size: 89 	 crout: 0.06099963188171387[s] 	 doolittle: 0.14500069618225098[s] 	 cholesky: 0.08200192451477051[s] 	 numpy: 0.0039997100830078125[s] 	 scipy: 0.003998994827270508[s]
matrix size: 47 	 crout: 0.012999773025512695[s] 	 doolittle: 0.027001142501831055[s] 	 cholesky: 0.019998788833618164[s] 	 numpy: 0.002000093460083008[s] 	 scipy: 0.0010008811950683594[s]
matrix size: 72 	 crout: 0.03499937057495117[s] 	 doolittle: 0.08000016212463379[s] 	 cholesky: 0.0540010929107666[s] 	 numpy: 0.0030002593994140625[s] 	 scipy: 0.0039980411529541016[s]
matrix size: 99 	 crout: 0.07999992370605469[s] 	 doolittle: 0.18700146675109863[s] 	 cholesky: 0.1139979362487793[s] 	 numpy: 0.0040018558502197266[s] 	 scipy: 0.004999876022338867[s]
matrix size: 78 	 crout: 0.05900096893310547[s] 	 doolittle: 0.1029977798461914[s] 	 cholesky: 0.05999922752380371[s] 	 numpy: 0.00400090217590332[s] 	 scipy: 0.003000020980834961[s]
matrix size: 44 	 crout: 0.015001535415649414[s] 	 doolittle: 0.02799820899963379[s] 	 cholesky: 0.01600050926208496[s] 	 numpy: 0.001998424530029297[s] 	 scipy: 0.0010013580322265625[s]
matrix size: 30 	 crout: 0.004999876022338867[s] 	 doolittle: 0.011999845504760742[s] 	 cholesky: 0.009000539779663086[s] 	 numpy: 0.0019989013671875[s] 	 scipy: 0.0[s]
matrix size: 71 	 crout: 0.03600049018859863[s] 	 doolittle: 0.08800125122070312[s] 	 cholesky: 0.05299949645996094[s] 	 numpy: 0.003997802734375[s] 	 scipy: 0.0030024051666259766[s]
matrix size: 99 	 crout: 0.07799935340881348[s] 	 doolittle: 0.20100092887878418[s] 	 cholesky: 0.1210017204284668[s] 	 numpy: 0.00799870491027832[s] 	 scipy: 0.007002830505371094[s]
matrix size: 82 	 crout: 0.04900050163269043[s] 	 doolittle: 0.11699676513671875[s] 	 cholesky: 0.0689995288848877[s] 	 numpy: 0.003998756408691406[s] 	 scipy: 0.0040018558502197266[s]
matrix size: 24 	 crout: 0.004999876022338867[s] 	 doolittle: 0.006999969482421875[s] 	 cholesky: 0.005999088287353516[s] 	 numpy: 0.0[s] 	 scipy: 0.0009999275207519531[s]
matrix size: 99 	 crout: 0.08499908447265625[s] 	 doolittle: 0.18500232696533203[s] 	 cholesky: 0.1139981746673584[s] 	 numpy: 0.005003213882446289[s] 	 scipy: 0.006997346878051758[s]
matrix size: 98 	 crout: 0.08000016212463379[s] 	 doolittle: 0.1809999942779541[s] 	 cholesky: 0.12199997901916504[s] 	 numpy: 0.0050008296966552734[s] 	 scipy: 0.004999637603759766[s]
matrix size: 45 	 crout: 0.012999534606933594[s] 	 doolittle: 0.030998945236206055[s] 	 cholesky: 0.01999974250793457[s] 	 numpy: 0.002000570297241211[s] 	 scipy: 0.0010020732879638672[s]
matrix size: 98 	 crout: 0.08099675178527832[s] 	 doolittle: 0.1789999008178711[s] 	 cholesky: 0.10700035095214844[s] 	 numpy: 0.004003286361694336[s] 	 scipy: 0.003995656967163086[s]
matrix size: 76 	 crout: 0.040000200271606445[s] 	 doolittle: 0.09350919723510742[s] 	 cholesky: 0.061004638671875[s] 	 numpy: 0.004994869232177734[s] 	 scipy: 0.004000663757324219[s]
matrix size: 35 	 crout: 0.008002281188964844[s] 	 doolittle: 0.016000747680664062[s] 	 cholesky: 0.009996891021728516[s] 	 numpy: 0.0020008087158203125[s] 	 scipy: 0.0010020732879638672[s]
matrix size: 87 	 crout: 0.060517072677612305[s] 	 doolittle: 0.13299989700317383[s] 	 cholesky: 0.09099936485290527[s] 	 numpy: 0.003000974655151367[s] 	 scipy: 0.004999637603759766[s]
matrix size: 59 	 crout: 0.023999691009521484[s] 	 doolittle: 0.04999971389770508[s] 	 cholesky: 0.03200125694274902[s] 	 numpy: 0.0020003318786621094[s] 	 scipy: 0.0030014514923095703[s]
matrix size: 68 	 crout: 0.03200578689575195[s] 	 doolittle: 0.07199215888977051[s] 	 cholesky: 0.04699969291687012[s] 	 numpy: 0.002001047134399414[s] 	 scipy: 0.0029985904693603516[s]
